sentiment,selected_text
worry,And the car thing sucks - I feel all anxious and yucky now
neutral,true lol no problem
worry,cant sleep  ....
neutral,Friday and it`s raining
anger,When my colleague spat on my face after a quarrel.
neutral,
neutral," Yes , I have nothing to do . "
neutral,Perfect
neutral,indian or the cowboy? actually considering going to the carnival
worry,
fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home."
neutral,refreshing
sadness,"Watching an old lady running up the street to catch her bus and miss it, it reminded me of my own mother and how dreadful it would be to be her in the same situation."
sadness,Same here. But I am just going to browse SA until I get bored.
worry,architecture is nice an
worry,worse
worry,Why do I always have a headache?
anger,Listening to long speech of the party leaders wasting my time.
sadness,feelin` down.
neutral,
neutral,
worry,he`s on zul`jin (i think that`s how you spell it) so i doubt they`ll ever meet
neutral,"Sadly, all I have is the Stanley Steemer 800 number."
anger,"The waitress returns , now indignant with her boss for his bought-and-paid-for apathy . "
worry,weather sucks
fear,"One night at three o'clock I was followed by a driver, who tried to molest me."
worry,"i don`t know why but, i can only find miss matched socks during winter. i mean, where do they all go?"
anger, I haven't even told you what it is yet ! 
sadness,m  suck
sadness,missed
neutral,Thank
anger,Stephanie ! Did you just get to school ? But you were up and about when I left the dorm this morning ! That was about an hour and a half ago . This happens all the time ! Why do you always take so long to get ready the morning ? 
sadness," No , sir . I'm afraid not . "
neutral,I agree  pre decided I think...
neutral, Why ? 
fear,"I was spending my summer holidays in a village.  My friend and I were coming back from a discotheque at night and we heard a noise from an alley.  We were very scared and we got into my friend's house.  A moment later, an unknown car picked up a person from this alley."
sadness,When my grandmother after staying with us for awhile went back home.
neutral,Goooood
sadness,soo sick. i hate my life
neutral,
neutral,ILE~life is go
worry,"I hate taking antibiotics,"
neutral,it does.
sadness,When my parents got divorced.
neutral,
sadness,"This house is very nice for me , but I can ’ t afford it in a lump sum . "
anger,"I had been having a heated argument with a lover - whose intention was that we should marry in the near future - and was rejected by her when I started to cry. When I stopped crying for a moment she said \There, have you got it all out now ?\""."""
neutral,
neutral,trent reznor - liddle beotch doesnt get his way. this could be the title
neutral, OK . 
neutral,"aidan, please"
worry,
neutral,cotton candy milkshake
sadness,Apologies in advance.
neutral,
worry,
sadness,sad
neutral, Tomorrow . 
sadness,"I know man, my day off and am pulling myself out of bed"
neutral,disintegrating?
neutral,ily
neutral,"Yeah, I agree. it does.  BTW, check out !linuxoutlaws. ;)"
worry,sick
neutral, One letter can have several pronunciations and one word can have several meanings . 
neutral,
fear,The day I encountered a queer mamba face to face in a chunk of leaves behind our house.
sadness,lucky girl!!
neutral,
neutral,I`m not gonna be here when the new Transformers comes out.... i`ll be in Colombia
anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals."
neutral,put ad on craigslist/Quebec 4 tan salad plates with bird drawings  can only do 1 area @ time. I still need 3 more. Got 2 at my Tuesday AM
fear,"Barely registering Gwen 's horrified face , she turned and whirled out , crashing the back door against the wall so hard that the echoes seemed to follow her fleeing figure . "
neutral,okay fine. i`ll start studying NOW. bye twitter world
worry,
sadness, I'm sorry.My car's taken . 
worry,I think my modem failed-having pc withdrawals..
worry,too late  I`m already on the bus goin home  what the he`ll u talkin about drinkin te
neutral,We don`t have either of those here.
worry,pulleaase dont hate me if u ask me a question and i dont answer you ... at any given time. i just cant see you! sorry
worry,
worry,
anger, You are passing the buck . I'll be hanged if I ask you to go to the park with us . 
sadness,Good
worry,help
sadness,
sadness,
neutral, A second language is always difficult . 
neutral,deck building buddy missing in action
sadness,
neutral,nice showers...
sadness,tired
neutral, Of course ! They use this machine with a needle that pokes your skin and inserts the ink . 
anger,Is Stanley still singing that Elvis song ? He's really hogging the mike ! 
fear,Practicing wind-surf my body was caught under the sail. On trying to get out my leg was caught in the lashing. I was afraid of dying by asphixia.
worry,
worry,Laying in the dark thinking of you.
sadness,now a migraine.
neutral,going thru bills
sadness,When I felt alone and without love.
worry,
worry,Won`t let me watch
worry,
worry,GREAT
sadness,I dont feel good AT ALL. fuckkk
neutral,Someone fly me to Reno
neutral, Excuse me ? 
sadness,Sinse i had dis thing..not 1 reply not 1 message. Nuffin! pshh who cares..i know im special  X
sadness,When I realized that I was in hospital after a car accident and that I had a scleral tear in my left eye.
sadness,
worry,"loved,"
sadness,nicer
worry,
neutral,_**** I`m leaving at half 10  but I have to get ready and things
sadness,
fear,"Oh , God . It ’ s late . I ’ m afraid I have to leave . "
neutral,people still mail things?
anger,She was cross at the way he had treated her as though she weren't a normal girl -- some kind of freak . 
worry,
worry,don`t like
worry,f I missed the 2nd time  And to think you missed all the in jokes too!
worry,Burst my bubble!
neutral,oh.. tnx for following cass.
sadness,
worry,cute.
neutral,kill
sadness,My sister lost one of her twin sons (my first nephews) and then the older one died a week later.
worry,
neutral, Yes ? 
neutral,"actually, web works fine. tweetdeck keeps crashing  i`m in NJ today avoiding nascar"
neutral,wish!
worry,
neutral,miss
neutral,
anger,Something was stolen.
neutral,morning
worry,
neutral,"I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)"
neutral,shakalohana week two of flat wavez no surfin
worry,
worry,so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late
sadness,awww i`m sorry  what kind of fish did you have?
anger,My young brother took my wristwatch in my abscence and sold it to his friend at a cheaper price.
worry,
sadness, And my writing is not good . I feel so frustrated . 
anger,When we rearranged furniture in our flat and got stuck in a chair.
worry,Ooops! Sorry
neutral," yes , I was just wondering how you and your roommate were planning on coming to my place . "
worry,Hearing a surprising news about my bestfriend...where are you sis ? You have to tell me the whole story
neutral,I mis
neutral,Hate
fear,"While watching TV (a war movie), I felt a strong fear of death, threat and fear of loosing people close to me."
worry,
neutral,
neutral,Got into the show early. Jackson`s chillen. Lil shorty
sadness,"Had drums, but they where made up of other peoples sets, so, had to give them all back"
sadness,
sadness,"happiness gone,"
anger,This week an irate mother reportedly stormed into a London school and hauled her 15-year-old daughter out of a class in elementary sapphism . 
anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots . 
neutral, Laura . 
fear,Reading a horror story alone.
neutral, The Giants ? 
sadness,
worry,tired
sadness," Yeah but , he is always in a really foul mood . I try to find out what ’ s bothering him or get him to talk about his day but , he always shuts down and brushes me off . "
worry,"How come it`s so cold now?! A few days ago it was wicked nice out, now I feel like I need my winter coat back."
worry,
sadness, I don't know . I failed my exam . 
neutral,
worry,
neutral,Follow Friday  b/c she needs more followers
neutral,it just might work.
sadness,g.. its so not cool... that is why tapes were better
neutral,Goodnight!
neutral,
worry,
sadness,i always feel last.
worry,I`m so sorry!! I hope she`s ok  ****
anger,When I quarelled with my parents.
neutral,Niceee  Hey i never get stickersss
sadness,pretty burnt
neutral,Yay
worry,. He looks nice today thoughh.
worry,puppy I wanted was adopted yesterday  I guess my dogs don`t get a little brother anytime soon. but at least he isn`t in a shelter now
sadness,When I failed an exam last Summer.  I had worked very hard for it and I was very disappointed thinking that it was hopeless to continue at college.  I did overreact.
neutral, She's ten . 
worry,sorry
neutral, What ? 
sadness,
fear,"@rAguC is the greatest threat. if #TN reduces watr lvl by 120, half worries off. #tooSelfishforaction"
sadness,early happy day of birth in case I don`t make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
anger,i never knew a dentention was so hard
neutral,right.
neutral,
sadness,t gets a second chance to perform again
worry,. Phone issues
neutral,"If anyone has a dreamwidth spare invite code lying around, could you please spare me one? Pretty please?"
fear,"The Americans were petrified of Communism , and believed Communists were aiming for world domination , via the ` domino effect "" of one country after another falling to it . "
anger,Insulted for no reason.
fear," Oh , dear ! How ruthless ! "
sadness,When the neighbour of a friend of mine was stabbed to death by thieves in Kabwe.  They stole his van.
worry,
worry,
neutral,Experimenting.  With puppet again. I think I just wiped my drive on my workstation
anger,"My sister borrowed some LP records for a party. She had left them in the car on curatao. Due to the heat they were crooked, so I couldn't play them again."
worry,hey u know the sub on digg I said I needed help on soon? well it`s up now n wud love it if u could digg it pls  Kaushik
worry,when you know u aint done the wrong
neutral,whats with u hating on becky soo much? ur bio says ur nice....guess not
worry,"no matter how much fun i`m having, i need a hug,"
neutral, Next week . 
worry,miss my
fear,When I am walking on the streets and see a gang of thugs.
sadness, That girl was my cousin . 
worry,
anger, They had no reason for arresting me . 
neutral,Almost lunch time
neutral,
worry,i feel like dyeing right now...
worry,I want some cookies.
sadness,unfortunately.
worry,
worry,
worry,I hope you feel better soon
neutral,_Exp not where i live.
worry,"I know, the suns not even up and ive been up for an hr. Tossa decided to sleep ON my side and cold nose me."
worry,"man, i ain`t been without V`s presence in a minute...i feel like a lil kid with no momma"
anger, What ’ s wrong with that ? Cigarette is the thing I go crazy for . 
neutral,Me + court =
fear,"One evening I was watching the news on TV. Again they were talking about the danger of war. Suddenly I imagined what it might mean for me, for my friends, for the people close to me. I felt it a very near and possible event."
worry,shocking! I
neutral, cheese ... 
anger,That was what I felt with a teacher who put down quite unreal marks.
sadness,"hahaha this is super late, but thank you!!"
worry,
anger,Friends who torture animals.
sadness,died
sadness,Sucks.
sadness,
neutral,"Good morning nyc! If I weren`t broke, I would have landed there yesterday afternoon."
neutral,just bought 6 new movies
sadness,just missing jar
worry,now I wish I hadn`t
worry,Omg! Really? I just ran into a wall
sadness,"If refused , they may feel saddened , disappointed , or inconvenienced , but their self-concept isn't shattered . "
boredom,im hyper & im bored
sadness,
neutral, Take care . 
neutral, You sneak ! 
neutral,
worry,
neutral,"I haven`t been replying to people because seriously, I haven`t refreshed twitter for a while.  Sorry.   Thanks."
neutral,nice
anger,"In icy tones , the offended bureaucrat replied : ` For future reference , you will call me Mr Hooton , not Richard . "" "
neutral, 1999 . 
sadness,sad me
neutral,"setting business hours! 8am - 6pm, rush jobs will still be considered, but not the norm"
sadness,Broke the laptop again...
worry,
neutral,
sadness,"When I left all my friends at school (break up) knowing we would probably all go our separate ways, and none see one another for a long time."
sadness,
worry,
sadness,Today is just not my day.
neutral,Oh yess
neutral,seriously hung over
neutral,Goodnight
neutral," Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . "
anger," Yeah , his attitude is great , but he ’ s really unreliable . Sometimes he ’ s really productive , but then other times ... take last Tuesday for instance , he was forty-five minutes late for our morning meeting ! "
neutral,yes please
worry,"hey y`all, we are waiting for final edits on our cover of 'sombody`s baby.'  can`t wait for some inpu"
fear,"I felt so afraid when dad fell ill, he had never suffered from that disease since and I had never seen him as he was."
worry,
sadness,My besties.
neutral,Dumb
neutral,Unfortunately
sadness,.nt too exciting im afraid!
anger, Will you take my materials back from him for me ? Please ! 
worry,That storm seems to be coming my way
neutral,cart path only
fear,One horrified look told him that Daisy had already sunk to her pasterns . 
worry,good
fear,"During the first year in university I had bad results in both the terms, especially the first term.  I was afraid that  I would not be promoted to the next year and that the others would go ahead of me."
fear,He followed me all the way home ! 
neutral,
neutral,thanks
worry,sux u will be poor tho
neutral,Good Morning
fear,When my little sister was sick at home and I thought that she would die.
sadness,
sadness,
neutral,
neutral,Leo Carillo Beach and WIll Rogers State Park are on the list of State Parks that might close      http://tinyurl.com/lhq8
anger, It certainly didn't arrive here that way . 
neutral,enjoy
neutral, I don't like the way they sag down . I feel like I have plumber butt in them . 
worry,i want some followers
neutral,"- No work, but gotta be here till 9pm  Enna kodumai sir idhu..."
sadness,Shawna and Damon are so cute
sadness,not really in the twitter mood today... i don`t know what to do
anger,Brother provoked anger. It was when mother and father were away and we had to look after ourselves. He accused me of being selfish and a snob.
worry,hahah i sowwie hun  whats up thoe
worry,sad
sadness,Death of my father; he died of laryngeal cancer.
sadness,I may die between now and them without phone
worry,
sadness,
neutral, Yes . 
fear,I was afraid when I met my Uncle because this time I was with my boyfriend I thought I was not going to be given pocket money.
neutral,
worry,I want all the soldiers to come home so we don`t have to hear about anymore being killed.
sadness, really ? Who do you chat with ? 
sadness,Cooks refused to give me food.
fear,Being chased in the dark by someone I did not know.
sadness,When the thing that made my friends and relatives sad happened to them.
anger,I was angry when my abilities of a singer were underestimated.
neutral,
neutral,Is getting ready for work... Working all weekend
neutral,. Looking forward
worry,
sadness,I`m not feeling very inspired today..
worry,lu Just one part of a very odd trip. You travel for 3 months you see some weirdness. Loved Perth though
sadness,
anger,screw you kinda sad u made twitter.. now i cant beak you cause I'm afraid you'll read it. #fuck #pplonfacebookmaketwitter
neutral,Good night
sadness,depressing
sadness, I ’ m afraid I ’ m already booked up for next Sunday . But thank you just the same . 
neutral,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is"
worry,so sad
sadness,miss
neutral,"Hi , Walter ! "
anger,When I discovered that the people I trusted most were talking behind my back.
sadness,I asked a girl out on a date and she said no.
sadness,attempting to count the days till i return to canada...theres alot of them
fear,The fear of the  is the beginning of wisdom...doing His will connotes His 
neutral,"Time to watch OP, then some Dead Like Me, then sleep."
sadness,
neutral,
neutral,i wish you were playing at MY prom
worry,i feel like ****
worry,hurts.
fear,"Isaiah 54:14 I am far from oppression, and fear does not come near me.”   #promise"
neutral,t after a month it wouldn`t hurt na!
worry,I don`t think my friends like me anymore  (via #zenjar )
sadness,"When I missed my train this morning, I felt sad for some time."
sadness,"So , this is the worst story I ’ Ve heard this month . You have my real sympathy , Tim . "
sadness,"He was not overjoyed to see them , but he played along , switching on the charm . he was actually upset"
anger,At school teacher for not allowing us to go out on New Year's Eve when on a class trip overseas.
worry,
sadness,I was very sad at hearing that my grandfather had passed away.
neutral, I know . 
worry,
worry,
fear,A third group of backbenchers is concerned at cross-media ownership in the new channels under the bill . 
sadness,
worry,a GREA
sadness,My brother wanted me to buy a flute with him but I didn't accept afterwards I regretted it because he became sad.
neutral,I`m not part of that generation unfortunately.  This is really good though
sadness,"I 've heard of women so depressed that they spend their 40th birthday incommunicado , having a mini nervous breakdown in bed . "
neutral,
worry,
neutral,
sadness,hurts
worry,You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not
worry,i <3 you. u helped me thru the hrdest time of my life!
worry,Good luck.
fear,getting too comfortable being single and end up lonely for the rest of my
worry,I don`t feel so good.
neutral,People eight years my junior can`t understand most of my references
sadness,A grief-stricken Mr Ellis said yesterday : ` It 's a nightmare . 
neutral,
worry,I just lost a fight against  on Tweefight. I lost  Please revenge me! Try now http://tweefight.com/?opp=hangy
worry,- it`s all good fun
sadness,is not having a good day... I havent had a good week forreal!!
sadness," I have done a lot of reading comprehension exercises , and I also spend much time in memorizing English words . "
sadness,I experienced tears of real grief for the first time when my granny died . 
sadness,One night I was called and told that the father of a close friend died. When I visited my friend at home and when attending the funeral I felt very sad.
anger,"The last day of school is traditionally celebrated by singing a song about all the students who are leaving.  In the song about me, there were things which irritated me a lot."
worry,g to feel really panicky and anxious that something bad has happened cos it seems like it`s been ages
neutral,_w T`was not an interview in so much as it was a private chat
sadness,like
anger,There is a mad boy in our village. This boy hit me with a raw paw-paw in the face.
neutral,worthless.
neutral,im on twitter mobile... confusin!!!! lol im knda slow
anger,When my mother rejected my boyfriend and made unfair judgements on him.
neutral,Working now
worry,
neutral,So you`re the reason I can`t get a BoC
worry,disappointed
sadness,
neutral, Bye-bye . 
neutral,Yooooooo!? What up mates?!
worry,
anger,"I was at the corner shop, which I patronise regularly I had only a $ 50 note and I purchased about $ 3 worth of goods that I really needed - the keeper made sarcastic remarks to others about people using him to cash notes."
sadness,"Hello , Kevin . I hate to do this , but I have to cancel our appointment . "
neutral,
worry,
worry,:``( please forgive me  I`m sorry
sadness,canceled.
neutral,taking in the local art
worry,
sadness," Well , I had a terrible day of work , I'm thinking of quiting my job . "
neutral,"oh nos, what happened"
sadness,Thankful for last minute doc appointments..
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.
neutral,"something outside has a bell  and i wont stop ringing, i think its children with bikes  the asbos"
neutral,e riveting
neutral,ROFL.. okay I dont know. but Kristin still isnt here
worry,
sadness, I'm sorry . Our company has just opened . There are always too many things to handle . You know that . 
sadness,I wanna go shopping!! I don`t get paid till next week!!
neutral,
anger,"When I found out my cousin had been killed. I was angry at the world, and her murderer who was her ex-boyfriend. It was the worst and most hateful day of my life."
neutral,you hate me
neutral, Why not ? 
anger,is the wrong use of imagination. It is anticipating the worst not the best.
neutral,
sadness,s spoilt
neutral,has just arrived in Singapore.
worry,"Yeah, plus I always totally overspend"
worry,
neutral,Twitter connected with FAcebook
worry,i could really fancy a nap right now but i am at work at 7am and i feel that if i nap now i am wasting my evening
worry,learning for school now ...
worry,good morning
worry,I`m here if u need to vent!
neutral,it can`t be that exciting.
neutral,LAME.
anger,"Ronni got in , feeling a welcome dart of annoyance at the way he had issued that curt command . "
sadness,saddest mo
worry,
worry,
sadness,
worry,"Its so sunny outside, and I have no one to go out and play with"
neutral,blocked
worry,pains
worry,"Well, of course the envelope I have for the book I need to mail is too small...if it had fit....what fun would that be."
sadness,such a shame he
neutral,Thank
neutral,and its over now
neutral, No problem . 
sadness,
worry,"four shots of novacaine in my mouth  my right cheek is totally numb, booo."
anger, We ’ re in the same boat ! I ’ Ve eaten fast food the whole week . I hate it now . 
sadness,Not good news
fear,If my tears hold value I will drop one for every single thing he showed Us... 
sadness,not so well ri
sadness,So I love my mac but msn doesn`t work on it still
sadness,Poor Greg
neutral, I'm older than you ! I'll be ten on April 14th . 
sadness,My Uncle was beaten by his troublesome son. He fell unconscious and gained consciousness after some time. That time I was at school; this news reached me through someone.
neutral, Thank you . 
fear,Small car accident. Black ice on the road - cars in front of us started zagging and so did we. Car in front did a 180 turn we followed and ended up in a gully.
worry,
sadness,"From somewhere in the gloom , accompanied by raucous laughter and much crudity , a young female voice began to groan and then rise , unintentionally mimicking the anguish of a wounded soldier . "
neutral,Go get some fresh air :] to refresh mind
worry,
neutral,On the train now. I forgot by charger  that means no whoshere for me today till I get home haha!  but I`d still tweet u guys! ****
neutral,Yup is ace film tho
neutral,Most experts recommend that you exercise up to 90 minutes most days of the week. (two Jillian videos)
neutral, you could try . It would save you a lot of money . 
neutral,
sadness,I`m so unhappy being here. I hate it.
neutral,
sadness,When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.
neutral,d happy
worry,*weeps
worry,
worry,
worry,not feeling well.
worry,I shudder at the thought of what she was thinking she`d do with it if she`d managed to reclaim it...
fear,"I remember you, this feeling isn't new.& please don't be scared of me. "
neutral,listening to some brandy...never say never cd
worry,beckett Thanks
anger," If you want to cross here , be my guest . I don't feel like dodging cars and scooters ! "
sadness,
neutral,
neutral,
sadness, I ’ m rather disappointed at not being able to see my best friend off . 
sadness,
neutral,chill its da rihanna bob. If it was 16 in I`d have no problem!!! Lol. R u at school all summer
worry,Only Tao in the summer?? That is not many
worry,quashed
neutral,Patrick should come here and say hi!
worry,"i misss my phone,"
neutral,miss
neutral,Loves her david soooooo much
worry,
worry,poor
sadness,"I would LOVE to learn trapeze! I`ve wanted to do that since I was a kid. Sadly, there`s no place where I live that teaches"
worry,can`t believe it!
sadness,miss
sadness,hard..
neutral,and now! ITS #starwarsday!!!! To celebrate i should watch some star wars
neutral,Please feel free to watch and enjoy
worry,"you won`t find nobody,"
neutral," Yes , but I think it's probably for the best . "
neutral, Maybe . 
fear,"I lived alone in a repulsive area in the city of Rotterdam. I was annoyed, heard a lot of Burglary and assaults. Especially in the evening and the night I frequently felt anxious."
sadness,good
worry,funny!
worry,I`m thankful.
worry,
worry,sorry
neutral,ugh..
neutral,Mom ? 
neutral,MY first pos
sadness,Sooo SAD
neutral,
worry,
worry,Off To The Movies With Abby (Who I Have Not Seen In FOREVER) To See Star Trek. L8er Twitter Folk
sadness,it would cost too much
neutral,Happy Mother`s Day
neutral,
neutral,Yes it does
worry,_370 i thought he was off until next week...i think we have another week to do his ohmygod please tell me with have another week
neutral,sitting in bed where I will be for the weekend.
worry,I`m sorry you aren`t having a good day.  cheer up
neutral,sorry
anger,"When I played in a chess championship, I was disturbed by other people. I asked them to be quiet, but in vain."
neutral,"AZ`s Finest Vol. 3...intro, how it lookn?????"
neutral,Figuring out how this Twitter thing works
neutral,most of da time on gtalk ! pls make my follow count 600
sadness,
neutral,
sadness,But it was the scene of my first heartbreak . 
sadness,i wasted a cute outfit on... sitting on my **** on twitter!!
neutral,"Hi , Kate . "
sadness," He took all my things , but he didn't hurt me . "
neutral,"Yes,  by 16 minutes now."
boredom,
neutral, Why not ? 
neutral,have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you
sadness, And a storm blew our roof away . 
sadness,
sadness,
fear,When I was looking for a job I felt a lot of fear but the fear was greater when I found it.
worry,
sadness,"being lazy the rain does that to me  gym&&tanning is possibe, work && a small social gathering around tha corner"
neutral,"twitter,facebook,myspace...no phone still"
neutral,
worry,"dont undrstand malaysian busays.just english,tagalog at waray only"
fear,"I was with a friend in a stationed car when, suddenly a man appeared on my side and an other with a gun on his side the hold-up lasted a few minutes but it was terrible. I had never seen a gun so close."
fear,"One itemised phone bill to Bedworth 's horrified mother ran to 34 pages of listed calls , the jury heard . "
neutral,is goin out  to  dinner!
sadness,tired!!!
worry,
sadness,"He saw Maud once in the Kurfrstendamm , eating alone in a cafe and looking a little desolate , with a stack of coins already piled beside her plate although her meal had only just come . "
fear,"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . "
neutral,
sadness,sucks
neutral," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
sadness,i hate songs and surveys  they always seem to make me cry.
sadness,
sadness,I feel bad for you
worry,ugh I`m not doin too good
sadness,"Trying to sleep, watching CNN and thinking about todays meeting at work...Best Buy 24/7 in my life, oh well.. whatever pays the alcohol"
neutral,it`s like 20 bucks for 10 shots  what kind of camera do you have?
worry,"wishes zak wuld trust me enough to give me bac my necklace  i want it back, but he thinks i`ll cut with it..... http://plurk.com/p/x2qkb"
sadness,good
sadness,Getting to know that my uncle in America had a brain tumor.
fear,"Anybody who swears allegiance to United must share the same sense of dismay at what has happened , and what is still going on -- for me , it 's almost a sense of revulsion . "
sadness,"Despite moments of despondency , de Gaulle himself certainly did not give up hope . "
neutral,Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??
neutral,not a fan of his music but think he`s hilarious! `**** in my Pants` - WAY too funny
worry,
sadness,When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.
neutral,just for a little while.. to get an impression of how twitter-copy-topify
worry,
neutral,?and make your own pledge while you`re at it!
sadness,very bad.
worry,Of back off other peoples he can only have one stalker
worry,
sadness,not soo good
worry,
fear,I was awakened by a dream in the middle of the night. I dreamt that a stranger was in my house.
sadness,One day I came across a certain boy who was intruding my friendship as lovers with my girlfriend and I was very sad because I didn't expect that girl to disappoint me I regarded her as being very faithful.
neutral, Yeah . 
worry,still not waking up
worry,not good enough
neutral,Yeah Yeah Yeahs - Softshock
neutral, Of course . 
worry,on. Too slo
neutral, Salesman ? 
neutral, What is it ? 
neutral, That ’ s all I need . 
neutral,at work
neutral,used a spare USB flash drive as virtual RAM for my PC. now its got 5.6 GB of memory
neutral,i cant remember ever falling this hard..
sadness,
neutral,haha!
neutral,
neutral,IIII know!!! and mean
worry,well then take your sexy **** to sleep then foo.  how as your weekend mami?
fear,@OfficialPWG was an AMAZING show. Thnx @JoeyRyanOnline @KILLSTEENKILL @daveyrichards83 @theChrisHero and everyone else 4 a great show!
anger,"According to Sheila , Caan was enraged and charged at her . "
sadness,that sux  but mayb 4 the btr u nvr know
neutral, Ummmph ! 
worry,
sadness,jittery and upset
worry,wish
worry,
neutral,"yay for nice weather, boo for cici no"
fear,"Niggas is bitch everytime you see me you walking with your head down , cmon son i dont want you to me ."
neutral,Checkin out what new on Twitter
neutral,Is it OK to send iFlowers to your mom for Mother`s Day trough this iPhone app? http://tr.im/kWnX
anger,Deliberately provoked by someone close. Angered by the deliberation not the provocation.
neutral, Do people get married young ? 
neutral,Dont get your hopes up
sadness,I miss someone
neutral,how long did it take you to learn the song
worry,i am so stressed and sad about pugsly missing.
sadness,is so tired iv
fear,"Going to have a hot chocolate at 10 when I watch american horror story, will help me sleep after. "
worry,
neutral,a very cheap one but it worked brilliantly
neutral,everything okay?
neutral,Hmm it seems to me _gun needs the followers.
sadness,UGH! Poor Beautiful Girl. Went in for new tires and inspection sticker. Now there`s a $590 repair and still no tires.
worry,as clea
worry,.it`s expensive!
neutral,
sadness,
anger,"Angry with my brother, who was making fun of me, teasing me."
worry,im feeling the burn of the last 4 days..gonna chill play xbox and watch stuff all day
neutral,craving coffee
neutral,Yups!  I still have a lot of pruning of unfollowers to do. It takes  tim
worry,Freaking out a bit..crossing my fingers that things will work out ok
sadness,"3 to go, and uploading photos to email would be ten tenenen tenen.. DONE"
sadness,never good
worry,
neutral,
sadness,
neutral,
sadness,Do you not like turtles?
neutral,I`m new at this and I don`t have any friends now!  please comment !
neutral,tyvm
anger,When I got low marks in B.Sc final.
neutral,yeah that too
worry,
anger,She didn't look quite so indignant as she 'd looked before . 
